Episode 665 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.776 | loss= 0.0106 | per_agent=[-1.0, -1.0]

Episode 666 | joint_return= -4.00 | mean_joint_return= -1.30 | eps=0.775 | loss= 0.0083 | per_agent=[-2.0, -2.0]

Episode 667 | joint_return= 0.00 | mean_joint_return= -1.30 | eps=0.773 | loss= 0.0092 | per_agent=[0.0, 0.0]

Episode 668 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.772 | loss= 0.0076 | per_agent=[0.0, 0.0]

Episode 669 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.771 | loss= 0.0084 | per_agent=[-1.0, -1.0]

Episode 670 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.769 | loss= 0.0081 | per_agent=[0.0, 0.0]

Episode 671 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.768 | loss= 0.0097 | per_agent=[0.0, 0.0]

Episode 672 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.767 | loss= 0.0079 | per_agent=[-1.0, -1.0]

Episode 673 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.765 | loss= 0.0068 | per_agent=[-1.0, -1.0]

Episode 674 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.764 | loss= 0.0091 | per_agent=[-1.0, -1.0]

Episode 675 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.762 | loss= 0.0088 | per_agent=[0.0, 0.0]

Episode 676 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.761 | loss= 0.0066 | per_agent=[0.0, 0.0]

Episode 677 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.760 | loss= 0.0063 | per_agent=[-1.0, -1.0]

Episode 678 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.758 | loss= 0.0071 | per_agent=[-1.0, -1.0]

Episode 679 | joint_return= -4.00 | mean_joint_return= -1.20 | eps=0.757 | loss= 0.0074 | per_agent=[-2.0, -2.0]

Episode 680 | joint_return= -2.00 | mean_joint_return= -1.30 | eps=0.756 | loss= 0.0061 | per_agent=[-1.0, -1.0]

Episode 681 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.754 | loss= 0.0080 | per_agent=[0.0, 0.0]

Episode 682 | joint_return= 0.00 | mean_joint_return= -1.30 | eps=0.753 | loss= 0.0068 | per_agent=[0.0, 0.0]

Episode 683 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.752 | loss= 0.0073 | per_agent=[0.0, 0.0]

Episode 684 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.750 | loss= 0.0079 | per_agent=[0.0, 0.0]

Episode 685 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.749 | loss= 0.0073 | per_agent=[-1.0, -1.0]

Episode 686 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.748 | loss= 0.0072 | per_agent=[-1.0, -1.0]

Episode 687 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.746 | loss= 0.0062 | per_agent=[-1.0, -1.0]

Episode 688 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.745 | loss= 0.0066 | per_agent=[0.0, 0.0]

Episode 689 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.744 | loss= 0.0050 | per_agent=[0.0, 0.0]

Episode 690 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.742 | loss= 0.0054 | per_agent=[0.0, 0.0]

Episode 691 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.741 | loss= 0.0065 | per_agent=[-1.0, -1.0]

Episode 692 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.739 | loss= 0.0058 | per_agent=[0.0, 0.0]

Episode 693 | joint_return= -4.00 | mean_joint_return= -1.20 | eps=0.738 | loss= 0.0056 | per_agent=[-2.0, -2.0]

Episode 694 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.737 | loss= 0.0057 | per_agent=[0.0, 0.0]

Episode 695 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.735 | loss= 0.0056 | per_agent=[-1.0, -1.0]

Episode 696 | joint_return= 0.00 | mean_joint_return= -1.20 | eps=0.734 | loss= 0.0064 | per_agent=[0.0, 0.0]

Episode 697 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.733 | loss= 0.0056 | per_agent=[-1.0, -1.0]

Episode 698 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.731 | loss= 0.0050 | per_agent=[-1.0, -1.0]

Episode 699 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.730 | loss= 0.0048 | per_agent=[-1.0, -1.0]

Episode 700 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.729 | loss= 0.0046 | per_agent=[0.0, 0.0]

Episode 701 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.727 | loss= 0.0050 | per_agent=[0.0, 0.0]

Episode 702 | joint_return= 0.00 | mean_joint_return= -1.00 | eps=0.726 | loss= 0.0047 | per_agent=[0.0, 0.0]

Episode 703 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.725 | loss= 0.0045 | per_agent=[-1.0, -1.0]

Episode 704 | joint_return= -2.00 | mean_joint_return= -1.20 | eps=0.723 | loss= 0.0051 | per_agent=[-1.0, -1.0]

Episode 705 | joint_return= 0.00 | mean_joint_return= -1.10 | eps=0.722 | loss= 0.0055 | per_agent=[0.0, 0.0]

Episode 706 | joint_return= -2.00 | mean_joint_return= -1.10 | eps=0.720 | loss= 0.0055 | per_agent=[-1.0, -1.0]

Episode 707 | joint_return= -4.00 | mean_joint_return= -1.20 | eps=0.719 | loss= 0.0047 | per_agent=[-2.0, -2.0]

